project,C_total_commits,K_positive_parsed_rows,N_collector_zero_rows,n_sample,supported,unresolved,negative,published_TestabilityRate_A,published_TestabilityRate_T,plugin_S_L,plugin_S_U,plugin_exclusion_share_L,plugin_exclusion_share_U,plugin_A_max_shift_L,plugin_A_max_shift_U,plugin_T_lower_L,plugin_T_upper_L,plugin_T_lower_U,plugin_T_upper_U
Bukkit,1509,742,657,12,0,4,8,0.491660227527,0.999885826601,0.000000000000,219.000000000000,0.000000000000,0.227887617066,0.000000000000,0.145129224652,0.999885826601,0.999885826601,0.772024228239,0.999911845305
CoreNLP,16467,2777,3,3,3,0,0,0.168602960645,0.999778521046,3.000000000000,3.000000000000,0.001079136691,0.001079136691,0.000182182547,0.000182182547,0.998699623361,0.999778760052,0.998699623361,0.999778760052
DiskLruCache,136,133,3,3,0,0,3,0.972880577604,0.994825252287,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.994825252287,0.994825252287,0.994825252287,0.994825252287
alluxio,31180,5643,1,1,1,0,0,0.178265709428,0.984994651775,1.000000000000,1.000000000000,0.000177179305,0.000177179305,0.000032071841,0.000032071841,0.984820131107,0.984997310412,0.984820131107,0.984997310412
android-volley,1932,126,19,12,12,0,0,0.065201863354,0.999761904762,19.000000000000,19.000000000000,0.131034482759,0.131034482759,0.009834368530,0.009834368530,0.868758620690,0.999793103448,0.868758620690,0.999793103448
ansj_seg,703,267,27,12,10,2,0,0.373108891458,0.982380339682,22.500000000000,27.000000000000,0.077720207254,0.091836734694,0.032005689900,0.038406827881,0.906029536080,0.983749743334,0.892161737059,0.983998471752
graylog2-server,19180,217,89,12,0,0,12,0.011206696791,0.990527393753,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.990527393753,0.990527393753,0.990527393753,0.990527393753
guava,5578,1032,104,12,12,0,0,0.185011961959,0.999996825396,104.000000000000,104.000000000000,0.091549295775,0.091549295775,0.018644675511,0.018644675511,0.908447820254,0.999997116029,0.908447820254,0.999997116029
java-design-patterns,3112,565,167,12,0,10,2,0.180424014254,0.993769083819,0.000000000000,139.166666666667,0.000000000000,0.197633136095,0.000000000000,0.044719365895,0.993769083819,0.993769083819,0.797367383230,0.995000519325
javaee7-samples,1537,352,2,2,2,0,0,0.061728681930,0.269536886724,2.000000000000,2.000000000000,0.005649717514,0.005649717514,0.001301236174,0.001301236174,0.268014079455,0.273663796969,0.268014079455,0.273663796969
javapoet,846,396,1,1,0,0,1,0.468085106383,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
nanohttpd,599,492,26,12,0,5,7,0.817527126324,0.995322659895,0.000000000000,10.833333333333,0.000000000000,0.021544580709,0.000000000000,0.018085698386,0.995322659895,0.995322659895,0.973878850517,0.995423431226
presto,18991,332,4,4,0,3,1,0.017435463084,0.997339998297,0.000000000000,3.000000000000,0.000000000000,0.008955223881,0.000000000000,0.000157969565,0.997339998297,0.997339998297,0.988408595327,0.997363819208
webmagic,1122,955,11,11,11,0,0,0.830967545769,0.976278100893,11.000000000000,11.000000000000,0.011387163561,0.011387163561,0.009803921569,0.009803921569,0.965161062477,0.976548226038,0.965161062477,0.976548226038
